type,properties/PCODE,properties/PNAME,properties/DCODE,properties/DNAME,properties/CCODE,properties/CNAME,properties/VCODE,properties/VNAME,properties/ODCODE,properties/ODNAME,properties/FACILITCOD,properties/FACILITNAM,properties/COVERNAME,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/PNAME_km,properties/VNAME_km,properties/FACILITNAM_km
Feature,3,Kampong Cham,313,Prey Chhor,31310.0,Sour Saen,3131001.0,Sour Saen,308,Prey Chhor,30805,Sour Saen,Village,Point,518107.90686894965,1335561.3756008139,,,
Feature,3,Kampong Cham,313,Prey Chhor,31311.0,Samraong,3131107.0,Soudei,308,Prey Chhor,30804,Srangae,Village,Point,514883.90499994386,1332135.3729730961,,,
Feature,3,Kampong Cham,313,Prey Chhor,31313.0,Thma Pun,3131302.0,Andoung Taa Pech,308,Prey Chhor,30810,Thma Pun,Village,Point,526400.91128321772,1343274.381631593,,,
Feature,3,Kampong Cham,313,Prey Chhor,31314.0,Tong Rong,3131408.0,Tro Mukh Ti Muoy,308,Prey Chhor,30812,Tong Rong,Village,Point,522282.91025452013,1330472.372575663,,,
Feature,3,Kampong Cham,313,Prey Chhor,31315.0,Trapeang Preah,3131524.0,Trapeang Krasang,308,Prey Chhor,30802,Trapeang Preah,Village,Point,532995.91727821471,1332607.3756766387,,,
Feature,6,Kampong Thom,602,Kampong Svay,60204.0,Kampong Svay,6020402.0,Tiem Chas,602,Kampong Thom,60213,Kampong Svay,Kampong Svay communce,Point,495883.89371803985,1410856.4101127884,,,
Feature,6,Kampong Thom,602,Kampong Svay,60207.0,San Kor,6020704.0,Veal,602,Kampong Thom,60211,San Kor,San Kor communce,Point,472133.88809969771,1415892.4133371538,,,
Feature,6,Kampong Thom,602,Kampong Svay,60209.0,Trapeang Ruessei,6020902.0,Prey Preal Kha,602,Kampong Thom,60212,Prey Pras,"Trapeang Ruessei, Tbeang communce",Point,481185.890135995,1414380.4118799223,,,
Feature,6,Kampong Thom,602,Kampong Svay,60209.0,Trapeang Ruessei,6020911.0,Kouk Nguon,602,Kampong Thom,60210,Kouk Nguon,"Trapeang Ruessei, Kdi Doung, Prey Tahou communce",Point,484442.89044686494,1408230.4099499872,,,
Feature,6,Kampong Thom,603,Stueng Saen,60301.0,Trapeang Ruessei,6030102.0,Balang Khang Lech,602,Kampong Thom,60205,Damrei Choan Khla,"Trapeang Ruessei, Kampong Rotheas communce",Point,488890.89143590245,1403740.4083220442,,,
Feature,6,Kampong Thom,603,Stueng Saen,60302.0,Kampong Thum,6030207.0,Phum Ti Prampir,602,Kampong Thom,60206,Kampong Thum,"Kampong Thum, O Konthor, Kampong Kraboa communce",Point,487676.8911671961,1405304.40886829,,,
Feature,6,Kampong Thom,603,Stueng Saen,60307.0,Prey Kuy,6030701.0,Prey Kuy,602,Kampong Thom,60204,Prey Kuy,"Kampong Svay, Prey Kuy, Kampong Krabov commune",Point,491832.89244735049,1406439.4089903529,,,
Feature,2,Battambang,204,Bavel,20403.0,Lvea,2040301.0,Lvea,201,Thmar Koul,20116,Lvea,"Lvea, Commune, 12 Vill",Point,273445.91420778417,1477128.5468948265,,,
Feature,2,Battambang,205,Aek Phnum,20501.0,Preaek Norint,2050104.0,Preaek Norint,205,Sangkae,20511,Preaek Norint,"Preaek Norint, Commune, 10 Vill",Point,308296.88934158586,1455587.5110090289,,,
Feature,2,Battambang,205,Aek Phnum,20502.0,Samraong Knong,2050202.0,Kampong Sambuor,205,Sangkae,20512,Samraong Knong,"Samraong Knong, Preak Khoub, Commune, 7 Vill",Point,306770.88677382009,1453019.5125032177,,,
Feature,2,Battambang,205,Aek Phnum,20504.0,Preaek Luong,2050401.0,Preaek Luong,205,Sangkae,20513,Preaek Luong,"Preaek Luong, Preaek khob, Commune, 10 Vill",Point,308935.88903837092,1455272.510381209,,,
Feature,2,Battambang,205,Aek Phnum,20505.0,Peam Aek,2050501.0,Doun Teav,205,Sangkae,20514,Peam Aek,"Peam Aek, Commune, 8 Vill",Point,306187.88855706196,1454820.5130955384,,,
Feature,2,Battambang,205,Aek Phnum,20507.0,Kaoh Chiveang,2050703.0,Anlong Ta Uor,205,Sangkae,20516,Kaoh Chiveang,"Kaoh Chiveang, Commune, 5 Vill",Point,354495.8962100913,1463754.4709921789,,,
Feature,3,Kampong Cham,315,Stueng Trang,31512.0,Soupheas,3151201.0,Soupheas,301,Chamkar Leu,30113,Soupheas,Village,Point,545825.92004371132,1356734.3934105071,,,
Feature,3,Kampong Cham,316,Tboung Khmum,31601.0,Anhchaeum,3160105.0,Koun Tmaat,310,Tbong Khmum,31011,Anhchaeum,Village,Point,578720.95768985897,1310208.3729075606,,,
Feature,2,Battambang,206,Moung Ruessei,20602.0,Kear,2060211.0,Ta Nak,202,Mong Russei,20210,Kear,Kear,Point,332887.84611313604,1405393.4813926565,,,
Feature,3,Kampong Cham,316,Tboung Khmum,31604.0,Chikor,3160409.0,Tuol Kandal Cheung,310,Tbong Khmum,31007,Chikor-Moung Rieve,Village,Point,568907.94941651437,1311524.3700034618,,,
Feature,3,Kampong Cham,316,Tboung Khmum,31606.0,Chirou Pir,3160602.0,Srae Siem,310,Tbong Khmum,31009,Chirou Pir,Village,Point,559600.93926692789,1320242.3734955844,,,
Feature,3,Kampong Cham,316,Tboung Khmum,31608.0,Chob,3160803.0,Chob Krau,310,Tbong Khmum,31008,Chob-Moung Rieng,Village,Point,565927.94489082834,1317618.3736707922,,,
Feature,3,Kampong Cham,316,Tboung Khmum,31612.0,Kor,3161207.0,Tuol Thmei,310,Tbong Khmum,31004,Kor-Lngieng,Village,Point,577683.95115714055,1323769.3828673202,,,
Feature,3,Kampong Cham,316,Tboung Khmum,31615.0,Peam Chileang,3161503.0,Kampong Chanloh Lech,303,Kampong Cham,30322,Peam Chileang,Village,Point,559505.9337158011,1337305.3855022779,,,
Feature,3,Kampong Cham,316,Tboung Khmum,31616.0,Roka Po Pram,3161613.0,Trapeang Ruessei,310,Tbong Khmum,31003,Roka Po Pram II,Village,Point,573800.94519962452,1331713.3869013903,,,
Feature,3,Kampong Cham,316,Tboung Khmum,31618.0,Sralab,3161813.0,Veal Khnach,310,Tbong Khmum,31012,Sralab,Village,Point,580045.95813072193,1311606.3746006105,,,
Feature,3,Kampong Cham,316,Tboung Khmum,31619.0,Suong,3161901.0,Pou Kel,310,Tbong Khmum,31006,Suong,Village,Point,570953.94873218844,1317481.3754419279,,,
Feature,3,Kampong Cham,316,Tboung Khmum,31621.0,Thma Pechr,3162102.0,Thma Pech Ti Pir,310,Tbong Khmum,31010,Thma Pich,Village,Point,565090.93990546418,1329987.3824232391,,,
Feature,3,Kampong Cham,316,Tboung Khmum,31623.0,Vihear Luong,3162303.0,Kandal,310,Tbong Khmum,31005,Vihear Luong,Village,Point,572455.94992577424,1317325.3759097119,,,
Feature,6,Kampong Thom,601,Baray,60102.0,Ballangk,6010201.0,Tras,601,Baray and Santuk,60108,Ballangk,Ballangk communce,Point,514094.90074864042,1381440.400405322,,,
Feature,6,Kampong Thom,601,Baray,60103.0,Baray,6010301.0,Krasang Chey,601,Baray and Santuk,60114,Baray,Baray communce,Point,509338.89930122421,1370284.3950192144,,,
Feature,6,Kampong Thom,601,Baray,60104.0,Boeng,6010402.0,Boeng Kandal,601,Baray and Santuk,60112,Boeng,Boeng communce,Point,511980.9003221399,1374160.3970150619,,,
Feature,6,Kampong Thom,601,Baray,60105.0,Chaeung Daeung,6010501.0,Ponnoreay,601,Baray and Santuk,60109,Chaeung Daeung,Chaeung Daeung communce,Point,520764.90393124061,1377969.3995269833,,,
Feature,6,Kampong Thom,601,Baray,60106.0,Chranieng,6010606.0,Srah Banteay,601,Baray and Santuk,60119,Srah Banteay,Chranieng communce,Point,517081.90449565195,1354013.3869793075,,,
Feature,6,Kampong Thom,601,Baray,60107.0,Chhuk Khsach,6010701.0,Chhuk Khsach,601,Baray and Santuk,60113,Chhouk Khsach,Chhouk Khsach communce,Point,512112.90061131894,1370606.3953394603,,,
Feature,6,Kampong Thom,601,Baray,60108.0,Chong Doung,6010801.0,Tuol Damnak,601,Baray and Santuk,60111,Chong Daung,Chong Doung communce,Point,511318.89991075645,1375950.3977954786,,,
Feature,6,Kampong Thom,601,Baray,60111.0,Krava,6011107.0,Sla Kaet,601,Baray and Santuk,60110,Krava,"Krava, Bak Sna, Kokir Thum communce",Point,526441.90628512867,1378901.4006606916,,,
Feature,6,Kampong Thom,601,Baray,60112.0,Andoung Pou,6011207.0,Kreul,601,Baray and Santuk,60117,Kreul,"Andoung Pou, Cholong",Point,513354.90208815021,1358187.3890100098,,,
Feature,6,Kampong Thom,601,Baray,60114.0,Sou Young,6011409.0,Souyoung,601,Baray and Santuk,60118,Tang Kouk,"Sou Young,Pongro communce",Point,513462.90253194311,1352835.3859976237,,,
Feature,6,Kampong Thom,601,Baray,60115.0,Sralau,6011512.0,Toung,601,Baray and Santuk,60116,Sralau,"Sralau,Treal communce",Point,512084.90117606416,1361618.3907763339,,,
Feature,6,Kampong Thom,601,Baray,60116.0,Svay Phleung,6011601.0,Prataong,601,Baray and Santuk,60120,Pratong,"Svay Phleung, Choneing, Sou Young communce",Point,515097.9034289681,1353317.3864045013,,,
Feature,6,Kampong Thom,601,Baray,60117.0,Tnaot Chum,6011701.0,Tnaot Chum Ti Muoy,601,Baray and Santuk,60107,Tnaot Chum,"Tnaot Chum,Phnouv communce",Point,507075.89768782223,1384343.4012099758,,,
Feature,2,Battambang,206,Moung Ruessei,20603.0,Prey Svay,2060308.0,Prey Svay,202,Mong Russei,20202,Prey Svay,"Prey Svay, Commune, 9 Vill",Point,337146.84875727445,1407100.4781726024,,,
Feature,2,Battambang,206,Moung Ruessei,20604.0,Ruessei Krang,2060410.0,Thnal Bat,202,Mong Russei,20203,Russei Krang,"Ruessei Krang, Commune, 10 Vill",Point,348628.84974375449,1404412.4680051107,,,
Feature,2,Battambang,206,Moung Ruessei,20605.0,Chrey,2060506.0,Chrey Pir,202,Mong Russei,20204,Chrey,"Chrey, Commune, 8 Vill",Point,334276.85340994666,1413356.4821744456,,,
Feature,2,Battambang,206,Moung Ruessei,20606.0,Ta Loas,2060606.0,Voat Chas,202,Mong Russei,20205,Ta Loas,"Ta Loas, Commune, 9 Vill",Point,332899.85565834702,1416304.4840209649,,,
Feature,6,Kampong Thom,601,Baray,60118.0,Treal,6011808.0,Sala Khum,601,Baray and Santuk,60115,Treal,Treal communce,Point,511184.90056039218,1364008.3919736729,,,
Feature,6,Kampong Thom,602,Kampong Svay,60201.0,Chey,6020106.0,Koun Tnaot,602,Kampong Thom,60214,Chey,"Sala Visay, Trapang Ressey, Chey, Kampong Svay communce",Point,493918.89341661165,1417881.4119276621,,,
Feature,6,Kampong Thom,602,Kampong Svay,60202.0,Damrei Slab,6020202.0,Kab Thlok,602,Kampong Thom,60215,Damrei Slab,"Damrei Slab, Ni Pheachr, Preas Damrey communce",Point,469328.889055293,1426108.4159641808,,,
Feature,6,Kampong Thom,602,Kampong Svay,60203.0,Kampong Kou,6020301.0,Kampong Kou Leu,602,Kampong Thom,60209,Kampong Kou,"Kampong Kou, Kdi Doung communce",Point,477288.88808201964,1405271.409789809,,,
Feature,6,Kampong Thom,607,Santuk,60704.0,Kakaoh,6070405.0,Svay Kal,602,Kampong Thom,60208,Kakaoh,Kakaoh communce,Point,499083.89450015809,1395933.405461,,,
Feature,6,Kampong Thom,607,Santuk,60707.0,Prasat,6070709.0,Banteay Yumreach,601,Baray and Santuk,60104,Prasat,Prasat communce,Point,510591.899077788,1384976.4016405416,,,
Feature,6,Kampong Thom,607,Santuk,60708.0,Tang Krasang,6070811.0,Veang Khang Tboung,601,Baray and Santuk,60103,Taing Krasaing,"Choab, Tang Krasang communce",Point,505511.89693419711,1388439.4027903951,,,
Feature,6,Kampong Thom,607,Santuk,60709.0,Ti Pou,6070902.0,Nimitt,601,Baray and Santuk,60102,Ti Pou,Ti Pou communce,Point,510446.89820496092,1399773.4070709571,,,
Feature,6,Kampong Thom,608,Stoung,60801.0,Banteay Stoung,6080104.0,Banteay Stoung,603,Stong,60304,Banteay Stoung,"Banteay Stoung, Rong Roung, Presh Damrey communce",Point,461770.8883034446,1429484.4179086129,,,
Feature,6,Kampong Thom,608,Stoung,60802.0,Chamnar Kraom,6080206.0,Sandan,603,Stong,60307,Chamnar Kraom,Chamnar Kraom communce,Point,458336.88641730294,1423483.4174960738,,,
Feature,6,Kampong Thom,608,Stoung,60803.0,Chamnar Leu,6080304.0,Khmak,603,Stong,60306,Chamnar Leu,Chamnar Leu communce,Point,463703.88762387948,1424135.4165492766,,,
Feature,6,Kampong Thom,608,Stoung,60805.0,Kampong Chen Tboung,6080503.0,Kampong Kdei,603,Stong,60308,Stong,"Kampong Chen Tboung, Kampong chen Cheung communce",Point,453520.88719699328,1430731.4199139539,,,
Feature,6,Kampong Thom,608,Stoung,60806.0,Msar Krang,6080602.0,Sambuor Tboung,603,Stong,60309,Msar Krang,"Msar Krang, Peam Bang communce",Point,449226.88635214587,1430197.4209009125,,,
Feature,6,Kampong Thom,603,Stueng Saen,60309.0,Achar Leak,6030902.0,Achar Leak,602,Kampong Thom,60207,Achar Leak,"Achar Leak, Prek Taho communce",Point,488001.89136471989,1406913.4093227554,,,
Feature,6,Kampong Thom,603,Stueng Saen,60310.0,Srayov,6031006.0,Trapeang Veaeng,602,Kampong Thom,60203,Srayov,Srayov Communce,Point,491061.89190739091,1399699.4069271025,,,
Feature,6,Kampong Thom,603,Stueng Saen,60311.0,Tboung Krapeu,6031101.0,Pou Khav,602,Kampong Thom,60202,Tboung Krapeu,"Tboung Krapeu, Srayov Communce",Point,493707.89274881838,1399089.4066254655,,,
Feature,6,Kampong Thom,604,Prasat Balangk,60401.0,Doung,6040102.0,Kokor,603,Stong,60303,Daung,"Phan Gnuem, Doung, Sameakki communce",Point,471321.89139072545,1439285.4176994325,,,
Feature,6,Kampong Thom,604,Prasat Balangk,60405.0,Sala Visai,6040507.0,Sala Visai,602,Kampong Thom,60216,Sala Visay,"Sala Visai, Toul Kreul communce",Point,493946.8938619048,1431814.4146650084,,,
Feature,6,Kampong Thom,605,Prasat Sambour,60501.0,Chhuk,6050104.0,Chhuk Stueng,602,Kampong Thom,60221,Chhouk,"Chhuk, Sraeung communce",Point,513907.89763441059,1423020.4135069416,,,
Feature,6,Kampong Thom,605,Prasat Sambour,60503.0,Sambour,6050301.0,Kampong Chheu Teal,602,Kampong Thom,60220,Sambour,"1 Commune, 15 Village",Point,507359.89631224715,1422950.4131156018,,,
Feature,6,Kampong Thom,605,Prasat Sambour,60505.0,Tang Krasau,6050507.0,Tuek Andoung,602,Kampong Thom,60222,Tang Krasau,"Tang Krasau, Sraeung communce",Point,512583.89752332517,1420633.4129062095,,,
Feature,6,Kampong Thom,606,Sandan,60601.0,Chheu Teal,6060103.0,Kampong Ta Baen,602,Kampong Thom,60218,Chheu Teal,"Chheu Teal, Ngan communce",Point,524815.89728958101,1442771.4176692604,,,
Feature,2,Battambang,206,Moung Ruessei,20607.0,Kakaoh,2060705.0,Kakaoh,202,Mong Russei,20206,Kakaoh,"Kakaoh, Commune, 7 Vill",Point,325927.85804795951,1420623.4910796366,,,
Feature,2,Battambang,206,Moung Ruessei,20608.0,Prey Touch,2060804.0,Prey Touch,202,Mong Russei,20211,Prey Touch,"Prey Touch, Commune, 6 Vill",Point,323198.86276793201,1426330.4945526198,,,
Feature,2,Battambang,206,Moung Ruessei,20609.0,Robas Mongkol,2060905.0,Koun Kaek Pir,202,Mong Russei,20208,Robas Mongkol,"Robas Mongkol, Commune, 11 Vill",Point,330250.84894275363,1409397.484754476,,,
Feature,6,Kampong Thom,606,Sandan,60605.0,Mean Chey,6060503.0,Roneam,602,Kampong Thom,60219,Mean Chey,"Mean Chey, Kleang, Koul, Tumring communce",Point,520945.89774443867,1435053.4162568103,,,
Feature,6,Kampong Thom,606,Sandan,60607.0,Sandan,6060710.0,Sandan,602,Kampong Thom,60217,Sandan,"Sandan, Mean Rith, Socheat, Dong Kambit, communce",Point,526442.89664805157,1448644.4183993458,,,
Feature,6,Kampong Thom,607,Santuk,60703.0,Kampong Thma,6070302.0,Thon Moung,601,Baray and Santuk,60105,Kampong Thma,Kampong Thma communce,Point,513062.90022392262,1382756.400884334,,,
Feature,6,Kampong Thom,607,Santuk,60703.0,Kampong Thma,6070310.0,Lak,601,Baray and Santuk,60106,La-ak,"Boung Lvea, Kroya communce",Point,519397.9022845953,1388184.4036347512,,,
Feature,10,Kratie,1004,Sambour,100405.0,Ou Krieng,10040504.0,Ou Krieng,1002,Kratie,100212,Ou Krieng,"Ou Krieng, Kbal Damrei, Roluos Mean Chey, Srae Chis Commune, 21 Village",Point,628043.90799205145,1440416.4584432738,,,
Feature,10,Kratie,1004,Sambour,100407.0,Sambour,10040706.0,Sambour,1002,Kratie,100211,Sambo,Sambour Village,Point,605003.92117405543,1412440.4395555381,,,
Feature,10,Kratie,1004,Sambour,100408.0,Sandan,10040803.0,Sandan,1002,Kratie,100210,Sandan,"Sadan, Sambok, Sambo, Voadthonak commune_13 village",Point,610490.92813953618,1402673.4399739641,,,
Feature,6,Kampong Thom,608,Stoung,60809.0,Pralay,6080902.0,Kampong Veang,603,Stong,60311,Pralay,"Pralay, Popok communce",Point,446838.88901255996,1441300.423058637,,,
Feature,6,Kampong Thom,608,Stoung,60812.0,Samprouch,6081205.0,Kouk Snay,603,Stong,60305,Samprouch,Samprouch communce,Point,453429.88661194412,1428374.4195356201,,,
Feature,6,Kampong Thom,608,Stoung,60813.0,Trea,6081309.0,Ta Char,603,Stong,60310,Trea,Trea communce,Point,454267.88749591052,1431474.4198569169,,,
Feature,10,Kratie,1001,Chhloung,100101.0,Chhloung,10010102.0,Chrouy Thma Kraom,1001,Chhlong,100107,Chroy Thmar Leu,"Chhloung commune, 12 village",Point,604892.95287935704,1355220.4164861327,,,
Feature,10,Kratie,1001,Chhloung,100102.0,Damrei Phong,10010202.0,Bos,1001,Chhlong,100109,Damrei Phong,"Damrei Phong, Kampong Damrei Commune_6 Village",Point,616879.96563319047,1345199.4178129192,,,
Feature,10,Kratie,1001,Chhloung,100105.0,Kanhchor,10010502.0,Chheu Teal Phluoh Kraom,1001,Chhlong,100108,Kanhchor,"Kanhchor, Preak Saman, Damrei Phong Commune_10 Village",Point,612611.95436153235,1359704.4234167461,,,
Feature,10,Kratie,1001,Chhloung,100106.0,Khsach Andaet,10010601.0,Preaek Samraong Ti Muoy,1001,Chhlong,100105,Khsach Andet,2 commune_1 village,Point,594464.94752558542,1354590.4105551329,,,
Feature,10,Kratie,1001,Chhloung,100107.0,Pongro,10010702.0,Pongro Muoy,1001,Chhlong,100106,Pongro,"Han Chey, Pongro, Kaoh Ta Suy Commune_7 Village",Point,599863.95034149161,1354857.4135208735,,,
Feature,10,Kratie,1002,Kracheh,100201.0,Bos Leav,10020108.0,Ta Lus,1002,Kratie,100202,Bos Leav,"2 Commune, 13 Village",Point,612195.94540015748,1374355.4303443166,,,
Feature,10,Kratie,1002,Kracheh,100204.0,Kantuot,10020404.0,Kantuot,1002,Kratie,100203,Kantuot,"Kantuot, Thma Andaeuk, Dar Commune 20 Village",Point,627484.94997898291,1377444.4414559146,,,
Feature,2,Battambang,206,Moung Ruessei,20611.0,Preaek Chik,2061104.0,Preaek Ta Ven,202,Mong Russei,20213,Preaek Chik,"Preaek Chik, Commune, 10 Vill",Point,325503.83740485908,1398123.4859043534,,,
Feature,2,Battambang,206,Moung Ruessei,20612.0,Prey Tralach,2061209.0,Sdok Pravoek,202,Mong Russei,20212,Prey Tralach,"Prey Tralach, Commune, 11 Vill",Point,340200.83232232346,1386571.4690616801,,,
Feature,2,Battambang,207,Rotonak Mondol,20701.0,Sdau,2070101.0,Banang,204,Bat Dambang,20417,Sdau,"Sdau, Andaeuk Haeb, Commune, 23,,,
,,,
Vill",Point,279538.85497940169,1425583.5394834338,,,
Feature,2,Battambang,207,Rotonak Mondol,20704.0,Traeng,2070401.0,Kilou,204,Bat Dambang,20418,Traeng,"Traeng, Commune, 7 Vill",Point,273237.84734847303,1419944.5459291164,,,
Feature,2,Battambang,202,Thma Koul,20209.0,Bansay Traeng,2020903.0,Thmei,201,Thmar Koul,20102,Bansay Traeng,"Bansay Traeng, Commune, 8 Vill",Point,285985.90208224917,1467310.5337722604,,,
Feature,10,Kratie,1002,Kracheh,100209.0,Kracheh,10020902.0,Kracheh,1002,Kratie,100206,Rakar Kandal,"Rakar Kandal, Kracheh Commune, 7 Village",Point,610917.94183620531,1379463.4318191453,,,
Feature,10,Kratie,1002,Kracheh,100210.0,Ou Ruessei,10021003.0,Ou Ruessei Muoy,1002,Kratie,100207,Ou Ruessei,"Ou Ruessei, Krakor, Kou Load Commune, 12 Village",Point,612284.94108515885,1381673.4335529259,,,
Feature,10,Kratie,1002,Kracheh,100214.0,Thma Kreae,10021402.0,Thma Kreae Kandal,1002,Kratie,100204,Thma Krae,"Thma Krae, Changkrang, Sambok Commune, 7 Village",Point,609227.93658919563,1387342.4340067445,,,
Feature,10,Kratie,1002,Kracheh,100215.0,Thmei,10021508.0,Tnaot,1002,Kratie,100205,Thmei,"Tmei Commune, 10 Village",Point,631874.94996115193,1380087.4455991164,,,
Feature,10,Kratie,1003,Preaek Prasab,100301.0,Chambak,10030101.0,Chambak Ti Muoy,1001,Chhlong,100102,Chambak,"Chambak, Russei Kao Commune_10 Village",Point,588133.94286189112,1357106.4088467618,,,
Feature,10,Kratie,1003,Preaek Prasab,100302.0,Chrouy Banteay,10030206.0,Roka Thum,1002,Kratie,100208,Chrouy Banteay,"Chrouy Banteay Commune, 8 Village",Point,607701.93555773085,1388161.4334409693,,,
Feature,10,Kratie,1003,Preaek Prasab,100305.0,Preaek Prasab,10030507.0,Preaek Prasap Kraom,1001,Chhlong,100104,Preaek Prasob,Preaek Prasab Commune_9 Village,Point,612627.95157178375,1364364.425833758,,,
Feature,10,Kratie,1003,Preaek Prasab,100307.0,Saob,10030706.0,Saob Kraom,1002,Kratie,100209,Saob,"Saob, Preaek Prasab, Kaoh Trong Commune, 10 Village",Point,608626.94100893755,1379260.430395979,,,
Feature,10,Kratie,1003,Preaek Prasab,100308.0,Ta Mau,10030807.0,Ta Mau Kraom,1001,Chhlong,100103,Ta Mau,"Ta Mau, Kampong Kor Commune_11 Village",Point,599896.94855413667,1358240.4153951858,,,
Feature,10,Kratie,1005,Snuol,100501.0,Khsuem,10050105.0,Khsuem Krau,1002,Kratie,100215,Khsem,"Khsuem, Snoul Commune_18 Village",Point,657564.98913825862,1345588.4480883947,,,
Feature,10,Kratie,1005,Snuol,100503.0,Snuol,10050302.0,Kbal Snuol,1002,Kratie,100214,Snuol,"Snuol, Srae Char, Pir Thnu Commune_43 Village",Point,654842.99544687173,1336120.4399375741,,,
Feature,10,Kratie,1005,Snuol,100505.0,Svay Chreah,10050501.0,Thnal,1002,Kratie,100213,Svay Chreah,"Damrei Phong Commune, 8 Village",Point,641931.96907667653,1360081.4435898319,,,
Feature,2,Battambang,208,Sangkae,20802.0,Norea,2080201.0,Norea Muoy,204,Bat Dambang,20410,Rottanak,"Norea,Rottanak, Commune ,,,
,,,
12 Vill",Point,306409.88474777044,1450995.5128276024,,,
Feature,24,Pailin,2401,Pailin,240101.0,Sangkat Pailin,24010106.0,Voat,2401,Pailin Ville,240102,Suon Koma,,Point,240655.84486697667,1422325.5875345555,,,
Feature,24,Pailin,2401,Pailin,240103.0,Toul Lvea,24010303.0,Ou Chra Kandal,2401,Pailin Ville,240103,Ou Chra,,Point,237967.84696183834,1424164.5914311763,,,
Feature,24,Pailin,2402,Sala Krau,240202.0,Stueng Trang,24020218.0,Toul Khpas,2401,Pailin Ville,240104,Phnom Spong,,Point,238476.85952551727,1433350.5917183934,,,
Feature,18,Sihanoukville,1801,Mittakpheap,180101.0,Sangkat Muoy,18010103.0,Phum Bei,1801,Sihanouk Ville,180109,Sangkat Muoy,"Sangkat Mouy,Sangkat Pir",Point,339602.6465555802,1176021.270081847,,,
Feature,18,Sihanoukville,1801,Mittakpheap,180104.0,Sangkat Buon,18010404.0,Phum Buon,1801,Sihanouk Ville,180110,"Sihanoukville,,,
","Sangkat Pir,Sangkat Boun,Sangkat Prim Commune",Point,339021.6434651108,1173628.266918455,,,
Feature,18,Sihanoukville,1802,Prey Nob,180201.0,Andoung Thma,18020105.0,Trapeang S'oy Pir,1801,Sihanouk Ville,180105,Andaung Thma,"Samrong,Andoung Thma,Tuol Totueng Commune",Point,367842.69223939744,1178951.2510907333,,,
Feature,18,Sihanoukville,1802,Prey Nob,180205.0,Ou Chrov,18020502.0,Ou Chrov,1801,Sihanouk Ville,180107,O Chrov,"Boeng Ta Prum,Ou Chrove Commune",Point,366593.68185303058,1167814.2346573255,,,
Feature,18,Sihanoukville,1802,Prey Nob,180206.0,Ou Oknha Heng,18020601.0,Bat Kokir,1801,Sihanouk Ville,180106,O Oknha Heng,"Prey Nob,Ou Oknha Heng Commune",Point,364617.6808646011,1170594.240574081,,,
Feature,11,Mondul Kiri,1101,Kaev Seima,110102.0,Me Mang,11010205.0,Toul,1101,Sen Monorom,110107,Me Mang,"Me Mang, Chong Phlah",Point,709266.96603809262,1392612.5201168775,,,
Feature,11,Mondul Kiri,1101,Kaev Seima,110104.0,Srae Khtum,11010407.0,Srae Khtum,1101,Sen Monorom,110106,Kaev Seima,"Srae Ktum, Srae Preah",Point,704730.01368289068,1347565.4951566593,,,
Feature,2,Battambang,208,Sangkae,20803.0,Ta Pon,2080304.0,Basaet,205,Sangkae,20510,Ta Pon,"Ta Pon, Commune, 1 Vill",Point,315671.88478839066,1450703.5038202561,,,
Feature,2,Battambang,208,Sangkae,20804.0,Roka,2080404.0,Roka,205,Sangkae,20507,Roka,"Roka, Commune, 6 Vill",Point,312994.88215316925,1448072.5062890733,,,
Feature,2,Battambang,208,Sangkae,20805.0,Kampong Preah,2080504.0,Kampong Preah,205,Sangkae,20505,Kampong Preah,"Kampong Preah, Commune,",Point,315891.87553242716,1440956.503098035,,,
Feature,11,Mondul Kiri,1102,Kaoh Nheaek,110206.0,Srae Sangkom,11020609.0,Sraaem,1101,Sen Monorom,110103,Kaoh Nhek,"Ou Boun, Roya, Srae SangKom, S0kh Sant, Srae Huy",Point,721263.90778744221,1446204.5431490571,,,
Feature,11,Mondul Kiri,1103,Ou Reang,110302.0,Saen Monourom,11030204.0,Pu Rang,1101,Sen Monorom,110105,Ou Raing,"Saen Monorum, Dak Dom",Point,736048.00926979748,1364397.5407410797,,,
Feature,11,Mondul Kiri,1104,Pechr Chenda,110404.0,Bu Sra,11040406.0,Pu Cha,1101,Sen Monorom,110104,Bou Sra,"Bu Sra, Srae Ampum, Pou Chri, Krang The",Point,764436.98976966343,1387012.5873693423,,,
Feature,11,Mondul Kiri,1105,Saen Monourom,110503.0,Spean Mean Chey,11050301.0,Ou Spean,1101,Sen Monorom,110102,Sen Monorom,"Spean Mean Chey, Monorum, Romnea, Sokh Dom",Point,737796.99324073014,1377687.5485864822,,,
Feature,2,Battambang,208,Sangkae,20806.0,Kampong Pring,2080603.0,Kach Roteh,205,Sangkae,20504,Kampong Preang,"Kampong Preang, Commune, 6 Vill",Point,320447.86803453136,1432463.4979564031,,,
Feature,2,Battambang,208,Sangkae,20807.0,Reang Kesei,2080703.0,Reang Kesei,205,Sangkae,20509,Reang Kesei,"Reang Kesei, Commune, 9 Vill",Point,311173.86861342791,1434301.5070166641,,,
Feature,2,Battambang,208,Sangkae,20808.0,Ou Dambang Muoy,2080802.0,Baoh Pou,205,Sangkae,20508,Ou Dambang I,"Ou Dambang Muoy, Commune, 6 Vill",Point,305702.87855664594,1444841.5132993017,,,
